Objekta nosaukums,Adrese
Kalncempju pagasta Viktora Ķirpa Ates muzejs,"""Atte"", Annas pag., Alūksnes nov., LV-4341"
Kandavas novada muzejs,"Talsu iela 11, Kandava, Tukuma nov., LV-3120"
Kārļa Skalbes memoriālais muzejs ''Saulrieti'',"""Saulrieti"", Vecpiebalgas pag., Cēsu nov., LV-4122"
"Kārļa Ulmaņa piemiņas muzejs ""Pikšas""","""Pikšu muzejs"", Bērzes pag., Dobeles nov., LV-3732"
Kazdangas muzejs,"Jaunatnes gatve 1, Kazdanga, Kazdangas pag., Dienvidkurzemes nov., LV-3457"
Krāslavas Vēstures un mākslas muzejs,"Pils iela 8, Krāslava, Krāslavas nov., LV-5601"
Krišjāņa Barona muzejs,"Krišjāņa Barona iela 3 - 5, Rīga, LV-1050"
Kubalu skola - muzejs,"""Kubalu skola"", Saustere, Dundagas pag., Talsu nov., LV-3270"
"Kuldīgas novada pašvaldības iestāde ""Kuldīgas novada muzejs""","Pils iela 5, Kuldīga, Kuldīgas nov., LV-3301"
Ķekavas novadpētniecības muzejs,"Rīgas iela 26, Ķekava, Ķekavas pag., Ķekavas nov., LV-2123"
Lapmežciema pagasta muzejs,"Liepu iela 4, Lapmežciems, Lapmežciema pag., Tukuma nov., LV-3118"
Latgales Kultūrvēstures muzejs,"Atbrīvošanas aleja 102, Rēzekne, LV-4601"
Latvenergo koncerna Enerģētikas muzeja ekspozīcija Pļaviņu HES,"Enerģētiķu iela 2, Aizkraukle, Aizkraukles nov., LV-5101"
Latvenergo koncerna Enerģētikas muzejs,"Ķeguma prospekts 7/9, Ķegums, Ogres nov., LV-5020"
Latvieši pasaulē – muzejs un pētniecības centrs,"Mūkusalas iela 3, Rīga, LV-1048"
Latvijas Arhitektūras muzejs,"Mazā Pils iela 19, Rīga, LV-1050"
Latvijas Ceļu muzejs,"""Šlokenbekas muižas ansamblis"", Milzkalne, Smārdes pag., Tukuma nov., LV-3148"
Latvijas dzelzceļa vēstures muzejs,"Uzvaras bulvāris 2A, Rīga, LV-1048"
"Latvijas Etnogrāfiskā brīvdabas muzeja ekspozīcija zvejnieka - zemnieka sēta ""Vītolnieki""","""Vītolnieki"", Pape, Rucavas pag., Dienvidkurzemes nov., LV-3477"
"Latvijas Etnogrāfiskā brīvdabas muzeja lauku ekspozīcija ""Vēveri""","""Vēveri"", Vecpiebalgas pag., Cēsu nov., LV-4122"
Latvijas Etnogrāfiskais brīvdabas muzejs,"Bonaventuras iela 10, Rīga, LV-1024"
Latvijas Fotogrāfijas muzejs,"Mārstaļu iela 8, Rīga, LV-1050"
"Latvijas Kara muzeja nodaļa ""O. Kalpaka muzejs un piemiņas vieta ""Airītes""""","""O. Kalpaka muzejs"", Zirņu pag., Saldus nov., LV-3853"
"Latvijas Kara muzeja nodaļa ""Ziemassvētku kauju muzejs""","""Mangaļi"", Valgundes pag., Jelgavas nov., LV-3017"
Latvijas Kara muzejs,"Smilšu iela 20, Rīga, LV-1050"
Latvijas Kultūras akadēmijas Eduarda Smiļģa Teātra muzejs,"Eduarda Smiļģa iela 37, Rīga, LV-1002"
Latvijas Lauksaimniecības muzejs,"Celtnieku iela 12, Talsi, Talsu nov., LV-3201"
Latvijas Mākslinieku savienības muzejs,"11. novembra krastmala 35, Rīga, LV-1050"
"Latvijas Nacionālā vēstures muzeja nodaļa ""Dauderi""","Zāģeru iela 7, Rīga, LV-1005"
"Latvijas Nacionālā vēstures muzeja nodaļa ""Tautas frontes muzejs""","Vecpilsētas iela 13/15, Rīga, LV-1050"
Latvijas Nacionālais dabas muzejs,"Krišjāņa Barona iela 4, Rīga, LV-1050"
Latvijas Nacionālais mākslas muzejs,"Jaņa Rozentāla laukums 1, Rīga, LV-1010"
Latvijas Nacionālais vēstures muzejs,"Pulka iela 8, Rīga, LV-1007"
Latvijas Naivās mākslas muzejs,"AB dambis 2, Rīga, LV 1048"
Latvijas Okupācijas muzejs,"Latviešu strēlnieku laukums 1, Rīga, LV-1050"
Latvijas Sporta muzejs,"Alksnāja iela 9, Rīga, LV-1050"
Latvijas Ugunsdzēsības muzejs,"Hanzas iela 5, Rīga, LV-1045"
Liepājas Muzejs,"Kūrmājas prospekts 16, Liepāja, LV-3401"
Limbažu muzejs,"Burtnieku iela 7, Limbaži, Limbažu nov., LV-4001"
LKA Rīgas Kino muzejs,"Peitavas iela 10, Rīga, LV-1050"
"LNMM izstāžu zāle ""Arsenāls""","Torņa iela 1, Rīga, LV-1050"
Ludzas Novadpētniecības muzejs,"Kuļņeva iela 2, Ludza, Ludzas nov., LV-5701"
Madonas novadpētniecības un mākslas muzejs,"Skolas iela 12, Madona, Madonas nov., LV-4801"
"Mākslas muzejs ""Rīgas Birža""","Doma laukums 6, Rīga, LV-1050"
Maltas vēstures muzejs,"Parka iela 8, Malta, Maltas pag., Rēzeknes nov., LV-4630"
Mazsalacas  muzejs,"Parka iela 31, Mazsalaca, Valmieras nov., LV-4215"
Memoriālo muzeju apvienība,"Kaļķu iela 24, Rīga, LV-1050"
